id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
228_mapp_batch_00020_gf_sirius_544	C6H8N2O4	[M + H]+	Amino acids and Peptides	0.9862857460975647	Small peptides	0.9724814891815186	Aminoacids	0.8447027802467346	Alpha amino acids	0.8978690505027771	Amino acids and derivatives	0.9981815814971924	Amino acids, peptides, and analogues	0.9979999661445618	Carboxylic acids and derivatives	0.9996185302734375	Organic acids and derivatives	0.9999923706054688	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Ureas; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
152_mapp_batch_00020_gf_sirius_165	C39H66O5	[M + H3N + H]+	Fatty acids	0.9998961687088013	Glycerolipids	0.9994421601295471	Diacylglycerols	0.997113823890686	Lineolic acids and derivatives	0.8786172866821289			Lineolic acids and derivatives	0.8786172866821289	Fatty Acyls	0.9963994026184082	Lipids and lipid-like molecules	0.997875452041626	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Lineolic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
127_mapp_batch_00020_gf_sirius_152	C52H83N5O11	[M + H]+	Fatty acids	0.9985488057136536	Glycerolipids	0.7869516611099243	Glycosyldiacylglycerols	0.1551533043384552	N-acyl amines	0.7825415134429932	N-acyl amines	0.7825415134429932	Fatty amides	0.685742974281311	Fatty Acyls	0.9999260902404785	Lipids and lipid-like molecules	0.9990531802177429	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Dicarboxylic acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
177_mapp_batch_00020_gf_sirius_176	C8H18O5	[M + H]+	Fatty acids	0.9922665953636169	Glycerolipids	0.9295059442520142	Monoacylglycerols	0.9669317007064819	Polyethylene glycols	0.9975556135177612	Dialkyl ethers	0.9996578693389893	Ethers	0.9998788833618164	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
52_mapp_batch_00020_gf_sirius_737	C39H72NO8P	[M + H]+	Fatty acids	0.9973239898681641	Glycerophospholipids	0.9999336004257202	Glycerophosphoethanolamines	0.9868558049201965	Phosphatidylethanolamines	0.9673622846603394	Phosphatidylethanolamines	0.9673622846603394	Glycerophosphoethanolamines	0.995663583278656	Glycerophospholipids	0.9999897480010986	Lipids and lipid-like molecules	0.9980758428573608	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
153_mapp_batch_00020_gf_sirius_395	C22H45NO4	[M + H]+	Fatty acids	0.9878266453742981	Fatty esters	0.9315228462219238	Wax monoesters	0.7251178026199341	Amino acids and derivatives	0.9912006258964539	Amino acids and derivatives	0.9912006258964539	Amino acids, peptides, and analogues	0.9914464950561523	Carboxylic acids and derivatives	0.9999998807907104	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
326_mapp_batch_00020_gf_sirius_873	C8H12BNO5S	[M + H]+	Amino acids and Peptides	0.14414530992507935	Small peptides	0.7377395629882812	Aminoacids	0.4921114146709442	Amino acids and derivatives	0.6221286058425903	Amino acids and derivatives	0.6221286058425903	Amino acids, peptides, and analogues	0.6137499809265137	Carboxylic acids and derivatives	0.9855388402938843	Organic acids and derivatives	0.999761164188385	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Boronic acid derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
128_mapp_batch_00020_gf_sirius_529	C6H11NO4	[M + H]+	Amino acids and Peptides	0.998768150806427	Small peptides	0.9995918869972229	Aminoacids	0.9933799505233765	Alpha amino acids	0.957985520362854	Amino acids and derivatives	0.9999605417251587	Amino acids, peptides, and analogues	0.9999587535858154	Carboxylic acids and derivatives	0.9999997615814209	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
277_mapp_batch_00020_gf_sirius_1091	C15H27N5O3	[M + H]+	Alkaloids	0.9927809834480286	Lysine alkaloids	0.27832502126693726	Piperidine alkaloids	0.05366645008325577	Dialkylarylamines	0.9037758708000183	Tertiary amines	0.9456974864006042	Amines	0.9908913969993591	Organonitrogen compounds	0.9999998807907104	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Dialkyl ethers; Amines; Tertiary amines; Tertiary alkylarylamines; Alkanolamines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
77_mapp_batch_00020_gf_sirius_207	C26H26O13	[M + H]+	Shikimates and Phenylpropanoids	0.9998600482940674	Isoflavonoids	0.992793083190918	Isoflavones	0.9670951962471008	Isoflavonoid O-glycosides	0.9944705963134766			Isoflavonoid O-glycosides	0.9944705963134766	Isoflavonoids	0.981174111366272	Phenylpropanoids and polyketides	0.9995779395103455	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; 1,3-dicarbonyl compounds; Anisoles; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Pyranones and derivatives; Isoflavones; Isoflavonoid O-glycosides; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Isoflavonoids; O-methylated isoflavonoids; 4'-O-methylated isoflavonoids; 4'-O-methylisoflavones; Isoflav-2-enes; 1-benzopyrans; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities
